Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.80     0.00    10040     0.00     0.00  std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > >::allocator<std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > > >(std::allocator<std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > > > const&)
  0.00      1.80     0.00    10040     0.00     0.00  std::allocator<std::pair<point const, double> >::allocator<std::_Rb_tree_node<std::pair<point const, double> > >(std::allocator<std::_Rb_tree_node<std::pair<point const, double> > > const&)
  0.00      1.80     0.00    10040     0.00     0.00  std::pair<point const, std::vector<point, std::allocator<point> > >::~pair()
  0.00      1.80     0.00     6334     0.00     0.00  bool __gnu_cxx::operator==<point const*, std::vector<point, std::allocator<point> > >(__gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&, __gnu_cxx::__normal_iterator<point const*, std::vector<point, std::allocator<point> > > const&)
  0.00      1.80     0.00     6334     0.00     0.00  std::vector<point, std::allocator<point> >::empty() const
  0.00      1.80     0.00     6324     0.00     0.00  __gnu_cxx::new_allocator<point>::destroy(point*)
  0.00      1.80     0.00     6324     0.00     0.00  std::vector<point, std::allocator<point> >::front() const
  0.00      1.80     0.00     6324     0.00     0.01  std::priority_queue<point, std::vector<point, std::allocator<point> >, heapCompare>::pop()
  0.00      1.80     0.00     6324     0.00     0.00  std::priority_queue<point, std::vector<point, std::allocator<point> >, heapCompare>::push(point const&)
  0.00      1.80     0.00     6324     0.00     0.00  std::vector<point, std::allocator<point> >::pop_back()
  0.00      1.80     0.00     6324     0.00     0.01  void std::__pop_heap<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point, heapCompare>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, point, heapCompare)
  0.00      1.80     0.00     6324     0.00     0.01  void std::__adjust_heap<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, int, point, heapCompare>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, int, int, point, heapCompare)
  0.00      1.80     0.00     6324     0.00     0.01  void std::pop_heap<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, heapCompare>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, heapCompare)
  0.00      1.80     0.00     6324     0.00     0.00  void std::push_heap<__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, heapCompare>(__gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, __gnu_cxx::__normal_iterator<point*, std::vector<point, std::allocator<point> > >, heapCompare)
  0.00      1.80     0.00     5040     0.00     0.00  __gnu_cxx::new_allocator<point>::new_allocator()
  0.00      1.80     0.00     5040     0.00     0.00  std::_Vector_base<point, std::allocator<point> >::_Vector_base(std::allocator<point> const&)
  0.00      1.80     0.00     5040     0.00     0.00  std::vector<point, std::allocator<point> >::vector(std::allocator<point> const&)
  0.00      1.80     0.00     5040     0.00     0.00  std::_Rb_tree<point, std::pair<point const, double>, std::_Select1st<std::pair<point const, double> >, std::less<point>, std::allocator<std::pair<point const, double> > >::_M_leftmost()
  0.00      1.80     0.00     5030     0.00     0.00  std::_Rb_tree<point, std::pair<point const, std::vector<point, std::allocator<point> > >, std::_Select1st<std::pair<point const, std::vector<point, std::allocator<point> > > >, std::less<point>, std::allocator<std::pair<point const, std::vector<point, std::allocator<point> > > > >::_M_leftmost()
  0.00      1.80     0.00     5020     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > > >::deallocate(std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > >*, unsigned int)
  0.00      1.80     0.00     5020     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<point const, std::vector<point, std::allocator<point> > > > >::allocate(unsigned int, void const*)
